City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
255,Moron,40,AR,1579550002,83,-34.65,-58.62,100.99,13.87
256,Moose Factory,1,CA,1579550002,55,51.26,-80.61,8.6,12.75
257,Pacific Grove,1,US,1579550003,81,36.62,-121.92,55.99,28.05
258,Yerofey Pavlovich,100,RU,1579550003,97,53.97,121.97,-16.02,1.63
259,Pujehun,90,SL,1579550003,84,7.36,-11.72,76.05,3.13
260,Sinnamary,23,GF,1579550003,78,5.38,-52.95,79.32,16.78
261,Torbay,90,CA,1579549796,92,47.67,-52.73,30,5.82
262,General Elizardo Aquino,51,PY,1579550003,31,-24.43,-56.7,97.65,8.03
263,Coyhaique,20,CL,1579550003,41,-45.58,-72.07,77,5.82
264,Goure,2,NE,1579550003,21,13.98,10.27,75,7
265,Caluquembe,28,AO,1579550003,86,-13.78,14.68,61.68,3.38
266,Linxia,98,CN,1579550003,91,35.6,103.21,19.76,0.56
267,Kedrovyy,100,RU,1579550003,60,56.17,91.82,5,15.66
268,Oleksandrivka,100,UA,1579550003,81,48.96,32.23,32.23,11.54
269,Lukovetskiy,90,RU,1579549869,92,64.3,41.92,28.4,4.47
270,Kota Kinabalu,75,MY,1579550004,88,5.97,116.07,77,4.7
271,Labuan,75,MY,1579550004,88,5.28,115.24,80.6,14.54
272,Toktogul,0,KG,1579550004,66,41.87,72.94,7.86,4.72
273,Vagur,100,FO,1579549841,66,61.47,-6.81,43.84,30.51
274,Pochutla,40,MX,1579550004,62,15.74,-96.47,88,11.41
275,Cabedelo,93,BR,1579550004,51,-6.98,-34.83,86,16.11
276,Bam,100,IR,1579549904,67,29.11,58.36,48.72,3.33
277,Byron Bay,4,AU,1579550004,83,-28.65,153.62,79,13.87
278,Darnah,100,LY,1579550004,60,32.77,22.64,57.34,8.37
279,Mercedes,37,AR,1579550004,73,-34.65,-59.43,95,1.99
280,Togur,100,RU,1579550005,91,58.36,82.83,3.11,13.78
281,Beyneu,99,KZ,1579550005,74,45.32,55.2,28.67,10.07
282,Lata,0,PT,1579549639,39,40.16,-8.33,50,10.29
283,Raudeberg,75,NO,1579550005,93,61.99,5.14,48.2,27.51
284,Clyde River,75,CA,1579549825,75,70.47,-68.59,-18.4,14.99
285,Saint George,1,US,1579549745,29,37.1,-113.58,54,13.87
286,Banda Aceh,96,ID,1579549777,90,5.56,95.32,73.72,4.61
287,Santa Catalina,88,PH,1579550005,84,9.33,122.86,70.65,14.97
288,Kingman,1,US,1579550005,30,35.19,-114.05,66,3.36
289,Bloomington,1,US,1579550005,72,44.84,-93.3,21,3.78
290,Yumen,0,CN,1579549869,73,40.28,97.2,12.4,9.51
291,Imeni Poliny Osipenko,100,RU,1579549824,99,52.42,136.49,-14.46,4.94
292,Saint-Leu,100,RE,1579550006,83,-21.15,55.28,80.6,2.24
293,North Bend,1,US,1579549580,81,43.41,-124.22,54,9.17
294,Bulawayo,98,ZW,1579550006,80,-20.15,28.58,64.29,14.52
295,Palmer,1,US,1579550006,30,42.16,-72.33,30,9.17
296,Tura,0,IN,1579550006,66,25.52,90.22,54.18,1.77
